names_tools,num_unclassified_users,num_clustered_users,num_total_users
pc4heterogen,18.0,9.0,27.0
piezoharvest,14.0,13.0,27.0
vsmod,19.0,7.0,26.0
trmotility,17.0,9.0,26.0
ddaplus,26.0,0.0,26.0
2dmatstacks,25.0,0.0,25.0
rtd,17.0,8.0,25.0
cntfet,23.0,2.0,25.0
qcrf4photo,16.0,9.0,25.0
mldefect,8.0,17.0,25.0
purduemse270,25.0,0.0,25.0
pvlimits,20.0,5.0,25.0
omenwire,24.0,1.0,25.0
npshapelab,16.0,9.0,25.0
sha2d,22.0,2.0,24.0
joommf,20.0,4.0,24.0
nwabsorption,24.0,0.0,24.0
imagesegment,12.0,11.0,23.0
pc4cancerbots,14.0,9.0,23.0
opv,16.0,7.0,23.0
struct2lammps,23.0,0.0,23.0
lcoe,22.0,0.0,22.0
1dchainmd,21.0,1.0,22.0
nmie,20.0,2.0,22.0
vides,22.0,0.0,22.0
nccpf,21.0,1.0,22.0
carrierconc,21.0,1.0,22.0
gibbs,11.0,10.0,21.0
berkeleygw,21.0,0.0,21.0
latticeprotein,0.0,21.0,21.0
dopingsilicon,13.0,8.0,21.0
pcisa,20.0,0.0,20.0
advte,20.0,0.0,20.0
dbrlaser,19.0,1.0,20.0
complam,20.0,0.0,20.0
compfilsim3d,11.0,9.0,20.0
mif,18.0,1.0,19.0
pc4livermedium,1.0,18.0,19.0
surfevolvergui,19.0,0.0,19.0
intromllab,13.0,6.0,19.0
sqsatat,10.0,9.0,19.0
photonicsdb,19.0,0.0,19.0
adept,19.0,0.0,19.0
meltingkim,5.0,14.0,19.0
compcatal,15.0,3.0,18.0
matlab2021a,11.0,7.0,18.0
convn,18.0,0.0,18.0
prolabcdd,16.0,2.0,18.0
cvgraph,17.0,1.0,18.0
photonicstk,18.0,0.0,18.0
energycurve,18.0,0.0,18.0
nanoplasticity,14.0,3.0,17.0
sbcnfet,17.0,0.0,17.0
octaview,17.0,0.0,17.0
msl,17.0,0.0,17.0
mtjlab,17.0,0.0,17.0
cntmob,17.0,0.0,17.0
sugaradxl,9.0,8.0,17.0
moca,15.0,2.0,17.0
fgmbuilder,16.0,0.0,16.0
comphydrogennb,16.0,0.0,16.0
coulombsim,16.0,0.0,16.0
xrd,16.0,0.0,16.0
pc4nanobio,16.0,0.0,16.0
compucell3d,16.0,0.0,16.0
nusimm,15.0,1.0,16.0
msemlg,5.0,11.0,16.0
matrix2surface,15.0,1.0,16.0
youngsmod,10.0,5.0,15.0
jmoltool,15.0,0.0,15.0
qdotjupyter,15.0,0.0,15.0
vkmlpsgg,12.0,3.0,15.0
spectraesrabs,15.0,0.0,15.0
mdshowcase,7.0,7.0,14.0
nanogromacs,9.0,5.0,14.0
gsaimage,11.0,3.0,14.0
vkmlggs,11.0,3.0,14.0
gamian,14.0,0.0,14.0
biolab,14.0,0.0,14.0
tedev,14.0,0.0,14.0
asilicon,14.0,0.0,14.0
nanofet,14.0,0.0,14.0
graft,14.0,0.0,14.0
gresq,12.0,2.0,14.0
mpb,13.0,1.0,14.0
nsoptics3d,12.0,1.0,13.0
nanoparticle,13.0,0.0,13.0
mesfet,13.0,0.0,13.0
biolabisfet,13.0,0.0,13.0
qudosim,13.0,0.0,13.0
spinqugate,6.0,7.0,13.0
electromat,9.0,4.0,13.0
qstem,13.0,0.0,13.0
illustmath,13.0,0.0,13.0
btesolver,13.0,0.0,13.0
mosctool,12.0,1.0,13.0
partsub,13.0,0.0,13.0
2dfets,12.0,1.0,13.0
diffusiongame2d,11.0,1.0,12.0
tpl,12.0,0.0,12.0
vkmllive,12.0,0.0,12.0
imod,12.0,0.0,12.0
prophet,12.0,0.0,12.0
slpf,12.0,0.0,12.0
ddscatshapegene,12.0,0.0,12.0
sfe,12.0,0.0,12.0
ex2pnjunction,7.0,5.0,12.0
pc4thanos,6.0,5.0,11.0
purdueme581,9.0,2.0,11.0
mage,11.0,0.0,11.0
nanoconfinement,10.0,1.0,11.0
tgnb,11.0,0.0,11.0
cadnanocvrt,11.0,0.0,11.0
sugarchevron,8.0,3.0,11.0
pnlongbasedda,10.0,1.0,11.0
antsy,10.0,1.0,11.0
vkmlsd3d,10.0,1.0,11.0
cnia,10.0,1.0,11.0
purdueme323,7.0,3.0,10.0
voidfrac,10.0,0.0,10.0
mdanalysis,10.0,0.0,10.0
photonicvasefit,10.0,0.0,10.0
pc3types,9.0,1.0,10.0
ttmmd,10.0,0.0,10.0
tftutorials,10.0,0.0,10.0
tddft,10.0,0.0,10.0
mobiresis,10.0,0.0,10.0
acmenpds,10.0,0.0,10.0
fmmacrospice,10.0,0.0,10.0
pumet,10.0,0.0,10.0
maml,5.0,4.0,9.0
cnegfmos,9.0,0.0,9.0
sugartangcd,8.0,1.0,9.0
lantrap,9.0,0.0,9.0
mctrigate,9.0,0.0,9.0
moose,9.0,0.0,9.0
xpsts,9.0,0.0,9.0
bhjmorphology,9.0,0.0,9.0
covidvaccinemod,9.0,0.0,9.0
gnrinterconnect,9.0,0.0,9.0
cmtcomb3,9.0,0.0,9.0
nanoenergytools,9.0,0.0,9.0
fibstream,8.0,0.0,8.0
beamprop,8.0,0.0,8.0
spinprecession,8.0,0.0,8.0
nanoheatflow,8.0,0.0,8.0
nanoindentation,8.0,0.0,8.0
stretchmol,7.0,1.0,8.0
pslsim,8.0,0.0,8.0
gas,8.0,0.0,8.0
smdc,8.0,0.0,8.0
qwalk,8.0,0.0,8.0
jupyterexamples,8.0,0.0,8.0
echem,8.0,0.0,8.0
cntbte,8.0,0.0,8.0
opticslab,8.0,0.0,8.0
ccamt,8.0,0.0,8.0
xrdinteract,8.0,0.0,8.0
nanobind,8.0,0.0,8.0
molctoy,8.0,0.0,8.0
circuitelements,8.0,0.0,8.0
strainbands,8.0,0.0,8.0
htq1,8.0,0.0,8.0
capacitancescm,8.0,0.0,8.0
ddaconvert,8.0,0.0,8.0
vkmlsd,8.0,0.0,8.0
asts,8.0,0.0,8.0
heterojunction,8.0,0.0,8.0
bulkmc,7.0,0.0,7.0
jupyter60,6.0,1.0,7.0
fibmd,1.0,6.0,7.0
spintransport,7.0,0.0,7.0
teg,7.0,0.0,7.0
vsepr,7.0,0.0,7.0
amidespec,7.0,0.0,7.0
mcpt,7.0,0.0,7.0
nacresimulator,7.0,0.0,7.0
mgnanowirefet,7.0,0.0,7.0
sandp,7.0,0.0,7.0
fibpredictor,7.0,0.0,7.0
rdf,7.0,0.0,7.0
gpuheompop,7.0,0.0,7.0
phcband,7.0,0.0,7.0
nmstthermal,7.0,0.0,7.0
phononlifetime,7.0,0.0,7.0
periodicpot,7.0,0.0,7.0
cellsorthexcc3d,7.0,0.0,7.0
mcdna,7.0,0.0,7.0
gscompaction,7.0,0.0,7.0
batteryopt,7.0,0.0,7.0
breakcalc1,6.0,0.0,6.0
optodet,5.0,1.0,6.0
gibbsads,6.0,0.0,6.0
romdegradation,6.0,0.0,6.0
meeppv,6.0,0.0,6.0
reaxff597a,6.0,0.0,6.0
bowtie,6.0,0.0,6.0
nuitns,6.0,0.0,6.0
1dphononbte,6.0,0.0,6.0
surfacearea,6.0,0.0,6.0
cndo,6.0,0.0,6.0
ncevol,6.0,0.0,6.0
sugarcube,6.0,0.0,6.0
mavelp,6.0,0.0,6.0
exdynamics,6.0,0.0,6.0
cadnanovis,6.0,0.0,6.0
compnano,6.0,0.0,6.0
fnecalc1,6.0,0.0,6.0
straincomp,6.0,0.0,6.0
dimredmatdecmp,6.0,0.0,6.0
xas,6.0,0.0,6.0
photonicspos,6.0,0.0,6.0
bmcsuite,5.0,0.0,5.0
mcde,5.0,0.0,5.0
prolabdcd,5.0,0.0,5.0
matdcal,5.0,0.0,5.0
hydrolab,5.0,0.0,5.0
cntnemscant,5.0,0.0,5.0
tedvis,5.0,0.0,5.0
spincoupleddots,5.0,0.0,5.0
nanobiophotsim,5.0,0.0,5.0
rjupyternb,5.0,0.0,5.0
nanoarray,5.0,0.0,5.0
memscreep,4.0,1.0,5.0
radcool,5.0,0.0,5.0
gbdiffusion,5.0,0.0,5.0
s4editor,5.0,0.0,5.0
nnrf,5.0,0.0,5.0
nplongbasedda,5.0,0.0,5.0
testgain0d,5.0,0.0,5.0
pnshortbasedda,5.0,0.0,5.0
bayes,5.0,0.0,5.0
htdft,5.0,0.0,5.0
crackprop,5.0,0.0,5.0
pete,5.0,0.0,5.0
annihilate,5.0,0.0,5.0
bacmacrocc3d4,5.0,0.0,5.0
elmod,5.0,0.0,5.0
devrel,5.0,0.0,5.0
biomoca,5.0,0.0,5.0
prismspfmisfit,5.0,0.0,5.0
mtstub,5.0,0.0,5.0
cc3dvasctumor,5.0,0.0,5.0
mixedgasdiff,5.0,0.0,5.0
laserdyn,5.0,0.0,5.0
samis,5.0,0.0,5.0
mdsim,4.0,0.0,4.0
jupyterlab,4.0,0.0,4.0
nanodrill,4.0,0.0,4.0
introtosimtools,4.0,0.0,4.0
multiscaletec,4.0,0.0,4.0
ohmslaw,4.0,0.0,4.0
nanogromacsii,4.0,0.0,4.0
legogen,4.0,0.0,4.0
htoxideprop,4.0,0.0,4.0
hsot,4.0,0.0,4.0
molspec,3.0,1.0,4.0
fin,4.0,0.0,4.0
diffanalyzer,4.0,0.0,4.0
mmsttf,4.0,0.0,4.0
cnc,4.0,0.0,4.0
cgmcc,4.0,0.0,4.0
zeno,4.0,0.0,4.0
opticslens,4.0,0.0,4.0
polymerwfnb,4.0,0.0,4.0
bulkmobility,4.0,0.0,4.0
cc3dbactmacro,4.0,0.0,4.0
vachecker,4.0,0.0,4.0
tunnelfet,3.0,1.0,4.0
contourpv,4.0,0.0,4.0
angel,4.0,0.0,4.0
tec,4.0,0.0,4.0
computehydrogen,4.0,0.0,4.0
plottool,4.0,0.0,4.0
pimc,4.0,0.0,4.0
pc1d,4.0,0.0,4.0
pc4cancerimmune,4.0,0.0,4.0
pba4tnf,3.0,0.0,3.0
opt,3.0,0.0,3.0
impadder,3.0,0.0,3.0
woundhealingpc,3.0,0.0,3.0
owetp,3.0,0.0,3.0
ecmsimul,3.0,0.0,3.0
nsmmaster,3.0,0.0,3.0
pb4covid19,3.0,0.0,3.0
viscoindent,3.0,0.0,3.0
ahpull,3.0,0.0,3.0
nselectrostatic,3.0,0.0,3.0
nrr,3.0,0.0,3.0
virion2response,3.0,0.0,3.0
lorentzfit,3.0,0.0,3.0
tpvexpt,3.0,0.0,3.0
crackpropsim,3.0,0.0,3.0
iontrace,2.0,1.0,3.0
jamming,3.0,0.0,3.0
fbsdcme,3.0,0.0,3.0
breakdowncal7,3.0,0.0,3.0
minimol,3.0,0.0,3.0
msugmmpc,3.0,0.0,3.0
covid19analysis,3.0,0.0,3.0
pnndemo,3.0,0.0,3.0
cntnemsff,3.0,0.0,3.0
mdshowbuilder,3.0,0.0,3.0
temlattice,3.0,0.0,3.0
filters,3.0,0.0,3.0
nanossl,3.0,0.0,3.0
predicts2d,3.0,0.0,3.0
fiona,3.0,0.0,3.0
stretchfcc,3.0,0.0,3.0
straincalc,3.0,0.0,3.0
stickslip,3.0,0.0,3.0
mgbasic,3.0,0.0,3.0
sfedemo,3.0,0.0,3.0
cc3dcellsort,3.0,0.0,3.0
dsmc,3.0,0.0,3.0
molexpl,3.0,0.0,3.0
mlspad,3.0,0.0,3.0
mmst,3.0,0.0,3.0
moca-ensemble,3.0,0.0,3.0
prolaboxflux,2.0,0.0,2.0
crmatomic,2.0,0.0,2.0
npshortbasedda,2.0,0.0,2.0
polymerxtal,2.0,0.0,2.0
cntphonons,2.0,0.0,2.0
fifaviz,2.0,0.0,2.0
geneticalgo,2.0,0.0,2.0
fishandriver,2.0,0.0,2.0
clusterbgopro,2.0,0.0,2.0
mosfet2sat,2.0,0.0,2.0
freeedge,2.0,0.0,2.0
freemol,2.0,0.0,2.0
npt,2.0,0.0,2.0
pc4tumorhypoxia,2.0,0.0,2.0
r2roptimizer,2.0,0.0,2.0
pc4sbml,2.0,0.0,2.0
dakotacalibrate,2.0,0.0,2.0
thermomechcnt,2.0,0.0,2.0
nwldos,2.0,0.0,2.0
chemae,2.0,0.0,2.0
cscale,2.0,0.0,2.0
molst,2.0,0.0,2.0
quamc2d,2.0,0.0,2.0
r3xyce,2.0,0.0,2.0
r0estimator2,2.0,0.0,2.0
gaussianpro,2.0,0.0,2.0
rebomd,1.0,1.0,2.0
jupyter51,1.0,1.0,2.0
tcacademic,0.0,2.0,2.0
omenhfet,2.0,0.0,2.0
spincircuit,2.0,0.0,2.0
tpxsim,2.0,0.0,2.0
3dmatopt,2.0,0.0,2.0
solidifpure,2.0,0.0,2.0
gptool,2.0,0.0,2.0
gp2d,2.0,0.0,2.0
acute,2.0,0.0,2.0
calibdriver,2.0,0.0,2.0
spectralnemd,2.0,0.0,2.0
micelle,2.0,0.0,2.0
turbinepredict,2.0,0.0,2.0
biophotonicsim,2.0,0.0,2.0
gransurrogate,2.0,0.0,2.0
tplvaranlz,2.0,0.0,2.0
abase,2.0,0.0,2.0
cc3dwf,2.0,0.0,2.0
hcius,2.0,0.0,2.0
shakefracture,2.0,0.0,2.0
cenems,2.0,0.0,2.0
greentherm,2.0,0.0,2.0
thermalcond,2.0,0.0,2.0
iu399sp19p101,2.0,0.0,2.0
meltheas,2.0,0.0,2.0
avalanche,2.0,0.0,2.0
grisp,2.0,0.0,2.0
tad,2.0,0.0,2.0
virion2receptor,2.0,0.0,2.0
virion2copy,2.0,0.0,2.0
angiogencc3d,2.0,0.0,2.0
jupyter44,2.0,0.0,2.0
mdshocks,2.0,0.0,2.0
megnet,2.0,0.0,2.0
swntjiv,2.0,0.0,2.0
sugarcubecad,1.0,0.0,1.0
gprpiezo,1.0,0.0,1.0
smoot,1.0,0.0,1.0
qpc,1.0,0.0,1.0
memsoscnet,1.0,0.0,1.0
qdotjuptest,1.0,0.0,1.0
smc,1.0,0.0,1.0
capsidsouffle,1.0,0.0,1.0
meltrccas,1.0,0.0,1.0
cgls,1.0,0.0,1.0
neursynch,1.0,0.0,1.0
qcmethod,1.0,0.0,1.0
fpuf,1.0,0.0,1.0
motility,1.0,0.0,1.0
mdvacancy,1.0,0.0,1.0
multimeter,1.0,0.0,1.0
cc3dcellsort3d,1.0,0.0,1.0
cntrelay,1.0,0.0,1.0
resistorcode,1.0,0.0,1.0
gscan,1.0,0.0,1.0
handsonpinns,1.0,0.0,1.0
ffettool,1.0,0.0,1.0
comphe,1.0,0.0,1.0
nanoin,1.0,0.0,1.0
nanonet,1.0,0.0,1.0
libefp,1.0,0.0,1.0
lfmobility,1.0,0.0,1.0
nanofilm,1.0,0.0,1.0
binbrush,1.0,0.0,1.0
solarpv,1.0,0.0,1.0
featureselect,1.0,0.0,1.0
physicellecm,1.0,0.0,1.0
hertzindent,1.0,0.0,1.0
kimexplorer,1.0,0.0,1.0
nanovisc,1.0,0.0,1.0
kicad,1.0,0.0,1.0
fdiscovery,1.0,0.0,1.0
gptool2,1.0,0.0,1.0
workspace,1.0,0.0,1.0
predicts1d,1.0,0.0,1.0
cc3dwfdrain,1.0,0.0,1.0
virion2pbpd,1.0,0.0,1.0
trapsimulator,1.0,0.0,1.0
trdeath,1.0,0.0,1.0
trmechanics,1.0,0.0,1.0
tsbiofilmsp19,1.0,0.0,1.0
cracktestpfdm,1.0,0.0,1.0
pc4worm,1.0,0.0,1.0
twoleakseries,1.0,0.0,1.0
hypiedesigner,1.0,0.0,1.0
stick2d,1.0,0.0,1.0
hipressdft,1.0,0.0,1.0
vb6dosenumber,1.0,0.0,1.0
hotspice,1.0,0.0,1.0
velstoreleak,1.0,0.0,1.0
mixedgasads,1.0,0.0,1.0
ml4ecg,1.0,0.0,1.0
holoviewstest,1.0,0.0,1.0
snap,1.0,0.0,1.0
deltawye,1.0,0.0,1.0
resist,1.0,0.0,1.0
hypiesolver,1.0,0.0,1.0
iavmodule,1.0,0.0,1.0
engdata,1.0,0.0,1.0
nanowireclassic,1.0,0.0,1.0
transpull,1.0,0.0,1.0
deltanotchcc3d,1.0,0.0,1.0
nsmch10master,1.0,0.0,1.0
nsmch6master,1.0,0.0,1.0
afm,1.0,0.0,1.0
vle,1.0,0.0,1.0
parttrack,1.0,0.0,1.0
parallelcoding,1.0,0.0,1.0
diffusion,1.0,0.0,1.0
wirecasting,1.0,0.0,1.0
diffusionfcc,1.0,0.0,1.0
dsmc1d,1.0,0.0,1.0
cdlev,1.0,0.0,1.0
dsmc0d,1.0,0.0,1.0
dpowj,1.0,0.0,1.0
mlmodels2d,0.0,1.0,1.0
