MClusterID,XClusterID,MClusterSize,XClusterSize,OverlapSize,OverlapMembers,MOnlySize,MOnlyMembers,XOnlySize,XOnlyMembers,CombinedSize,CombinedMembers
3,36,46,15,10,"['vauger2', 'rykothari', 'hrshah2', 'tesler2', 'jmayen2', 'swong', 'esunny2', 'akale', 'zchng2', 'sramin3']",36,"['nhamer2', 'shossei2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'desimmon', 'pwitkow2', 'twei2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'png2', 'nrivera2', 'acallawa', 'crtaylor', 'mlao2', 'nosonwan', 'spencemitch05', 'towster2', 'jlee207', 'abhiahuja', 'msachtl2', 'rbalik', 'ajschoch', 'rsteinm2', 'akeene3', 'ssharma7', 'dsherid3', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'bridgwater', 'dapeters']",5,"['szuster2', 'ekavurma', 'eradiri2', 'powguma', 'crallen']",51,"['rykothari', 'nhamer2', 'tesler2', 'shossei2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'pwitkow2', 'twei2', 'vauger2', 'szuster2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'bridgwater', 'eradiri2', 'hrshah2', 'mlao2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'towster2', 'jlee207', 'abhiahuja', 'sramin3', 'msachtl2', 'powguma', 'rbalik', 'ajschoch', 'crallen', 'rsteinm2', 'akeene3', 'ssharma7', 'ekavurma', 'dsherid3', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']"
3,10,46,11,8,"['ajschoch', 'spencemitch05', 'acallawa', 'abhiahuja', 'cui4', 'crtaylor', 'jamorale', 'dapeters']",38,"['rykothari', 'nhamer2', 'tesler2', 'shossei2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'desimmon', 'pwitkow2', 'twei2', 'vauger2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'zchng2', 'hrshah2', 'mlao2', 'nosonwan', 'swong', 'esunny2', 'towster2', 'jlee207', 'sramin3', 'msachtl2', 'rbalik', 'rsteinm2', 'akeene3', 'ssharma7', 'dsherid3', 'hrao3', 'mstephe2', 'bridgwater']",3,"['kwing', 'dvanclev', 'zhang265']",49,"['rykothari', 'nhamer2', 'tesler2', 'shossei2', 'dvanclev', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'pwitkow2', 'twei2', 'vauger2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'bridgwater', 'kwing', 'hrshah2', 'mlao2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'towster2', 'jlee207', 'abhiahuja', 'sramin3', 'msachtl2', 'rbalik', 'ajschoch', 'rsteinm2', 'zhang265', 'akeene3', 'ssharma7', 'dsherid3', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']"
3,13,46,11,9,"['rykothari', 'nhamer2', 'mlao2', 'jookalook', 'shossei2', 'dsherid3', 'towster2', 'bridgwater', 'pwitkow2']",37,"['tesler2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'twei2', 'vauger2', 'chenchen', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'hrshah2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'jlee207', 'abhiahuja', 'sramin3', 'msachtl2', 'rbalik', 'ajschoch', 'rsteinm2', 'akeene3', 'ssharma7', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']",2,"['singleelectron', 'tbublik']",48,"['rykothari', 'nhamer2', 'tesler2', 'shossei2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'pwitkow2', 'twei2', 'vauger2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'bridgwater', 'tbublik', 'hrshah2', 'mlao2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'singleelectron', 'towster2', 'jlee207', 'abhiahuja', 'sramin3', 'msachtl2', 'rbalik', 'ajschoch', 'rsteinm2', 'akeene3', 'ssharma7', 'dsherid3', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']"
3,11,46,9,8,"['nhamer2', 'hrshah2', 'rsteinm2', 'jmayen2', 'dsherid3', 'bigperm247', 'towster2', 'msachtl2']",38,"['rykothari', 'tesler2', 'shossei2', 'witriew', 'aknecht', 'twicken2', 'pwitkow2', 'twei2', 'vauger2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'bridgwater', 'mlao2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'jlee207', 'abhiahuja', 'sramin3', 'rbalik', 'ajschoch', 'akeene3', 'ssharma7', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']",1,['cbrauwe2'],47,"['rykothari', 'nhamer2', 'tesler2', 'shossei2', 'witriew', 'aknecht', 'bigperm247', 'twicken2', 'pwitkow2', 'twei2', 'vauger2', 'chenchen', 'jookalook', 'nvaccar2', 'ee21yin', 'jmayen2', 'nrivera2', 'png2', 'akale', 'acallawa', 'crtaylor', 'zchng2', 'bridgwater', 'cbrauwe2', 'hrshah2', 'mlao2', 'nosonwan', 'spencemitch05', 'swong', 'esunny2', 'towster2', 'jlee207', 'abhiahuja', 'sramin3', 'msachtl2', 'rbalik', 'ajschoch', 'rsteinm2', 'akeene3', 'ssharma7', 'dsherid3', 'hrao3', 'cui4', 'jamorale', 'mstephe2', 'desimmon', 'dapeters']"
4,37,43,30,29,"['smoctezuma', 'jstroud', 'jdelacruz', 'amiramontes', 'jelopez2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'rromero', 'mfranco', 'dilydog25', 'atsolem', 'hseetao', 'vmanane', 'rcordero', 'flopez', 'stella', 'eburton', 'rsilvas', 'manaya', 'rhernandez20', 'deavila', 'mgsassenfeld', 'arturocontreras', 'yvette', 'ejimenez', 'isgovea', 'daesparza3']",14,"['danishr', 'champinhon', 'doubleac', 'zhang265', 'asalas', 'jmmoreno2', 'dibrovdo', 'miltownboiler', 'african_twin1', 'bpadman1', 'aelgkorv', 'rquinn', 'jmmontes2', 'jmgutierrez']",1,['iacoronado'],44,"['champinhon', 'doubleac', 'asalas', 'miltownboiler', 'african_twin1', 'smoctezuma', 'iacoronado', 'jstroud', 'danishr', 'jdelacruz', 'amiramontes', 'jelopez2', 'jmmoreno2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'rromero', 'mfranco', 'bpadman1', 'dilydog25', 'atsolem', 'hseetao', 'jmmontes2', 'vmanane', 'flopez', 'rcordero', 'stella', 'eburton', 'rsilvas', 'manaya', 'rhernandez20', 'aelgkorv', 'deavila', 'mgsassenfeld', 'arturocontreras', 'yvette', 'zhang265', 'ejimenez', 'dibrovdo', 'isgovea', 'rquinn', 'daesparza3', 'jmgutierrez']"
4,17,43,27,2,"['danishr', 'dibrovdo']",41,"['champinhon', 'doubleac', 'asalas', 'miltownboiler', 'african_twin1', 'smoctezuma', 'jstroud', 'jdelacruz', 'amiramontes', 'jelopez2', 'jmmoreno2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'rromero', 'mfranco', 'bpadman1', 'dilydog25', 'atsolem', 'hseetao', 'jmmontes2', 'vmanane', 'flopez', 'rcordero', 'stella', 'eburton', 'rsilvas', 'manaya', 'rhernandez20', 'aelgkorv', 'deavila', 'mgsassenfeld', 'arturocontreras', 'yvette', 'zhang265', 'ejimenez', 'isgovea', 'rquinn', 'daesparza3', 'jmgutierrez']",25,"['evary', 'rizwan', 'sheng', 'wtm', 'benny7', 'bjoern83', 'bellmanz', 'hafizbilalnaveed', 'yxiang', 'silverjbj', 'manuilov', 'sohailabbas', 'mewael', 'bumjin', 'tigranb', 'ahbhatti', 'vincentv', 'fudankth', 'alexkravchenko', 'musman6', 'jazzphysicist', 'm_maziar', 'jtli3', 'fatihertinaz', 'sansar31']",68,"['evary', 'champinhon', 'doubleac', 'rizwan', 'sheng', 'asalas', 'wtm', 'miltownboiler', 'african_twin1', 'smoctezuma', 'benny7', 'bjoern83', 'hafizbilalnaveed', 'jstroud', 'bellmanz', 'danishr', 'jdelacruz', 'amiramontes', 'jelopez2', 'jmmoreno2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'rromero', 'yxiang', 'mfranco', 'bpadman1', 'dilydog25', 'atsolem', 'hseetao', 'silverjbj', 'jmmontes2', 'vmanane', 'flopez', 'rcordero', 'manuilov', 'sohailabbas', 'stella', 'eburton', 'mewael', 'rsilvas', 'bumjin', 'tigranb', 'ahbhatti', 'manaya', 'vincentv', 'rhernandez20', 'aelgkorv', 'deavila', 'mgsassenfeld', 'arturocontreras', 'fudankth', 'alexkravchenko', 'yvette', 'zhang265', 'musman6', 'ejimenez', 'dibrovdo', 'jazzphysicist', 'm_maziar', 'jtli3', 'fatihertinaz', 'sansar31', 'isgovea', 'rquinn', 'daesparza3', 'jmgutierrez']"
4,10,43,11,1,['zhang265'],42,"['champinhon', 'doubleac', 'asalas', 'miltownboiler', 'african_twin1', 'smoctezuma', 'jstroud', 'danishr', 'jdelacruz', 'amiramontes', 'jelopez2', 'jmmoreno2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'rromero', 'mfranco', 'bpadman1', 'dilydog25', 'atsolem', 'hseetao', 'jmmontes2', 'vmanane', 'flopez', 'rcordero', 'stella', 'eburton', 'rsilvas', 'manaya', 'rhernandez20', 'aelgkorv', 'deavila', 'mgsassenfeld', 'arturocontreras', 'yvette', 'ejimenez', 'dibrovdo', 'isgovea', 'rquinn', 'daesparza3', 'jmgutierrez']",10,"['ajschoch', 'dvanclev', 'kwing', 'spencemitch05', 'acallawa', 'abhiahuja', 'cui4', 'crtaylor', 'jamorale', 'dapeters']",53,"['champinhon', 'doubleac', 'asalas', 'dvanclev', 'miltownboiler', 'african_twin1', 'smoctezuma', 'jstroud', 'danishr', 'jdelacruz', 'amiramontes', 'jelopez2', 'jmmoreno2', 'dmuse', 'gnkoslan', 'ruls_7', 'gsantacruz', 'cui4', 'rromero', 'acallawa', 'mfranco', 'bpadman1', 'dilydog25', 'atsolem', 'hseetao', 'crtaylor', 'jmmontes2', 'vmanane', 'flopez', 'rcordero', 'kwing', 'stella', 'eburton', 'rsilvas', 'spencemitch05', 'manaya', 'rhernandez20', 'aelgkorv', 'abhiahuja', 'deavila', 'mgsassenfeld', 'arturocontreras', 'ajschoch', 'yvette', 'zhang265', 'ejimenez', 'dibrovdo', 'isgovea', 'jamorale', 'rquinn', 'daesparza3', 'jmgutierrez', 'dapeters']"
5,45,35,22,22,"['Tal', 'tamtam', 'hkb', 'tsvika', 'shogun', 'smeagul', 'gilcohn', 'izlot', 'cheburashka', 'erabkin', 'shayjo', 'Hila', 'lironilb', 'hila', 'porvunah', 'sduppleganger', 'itaikam', 'merav_m', 'smariadu', 'morritter', 'atrash', 'guy23']",13,"['demonte', 'zuzvang', 'drezner', 'orit', 'podesta', 'Keren1', 'Luks', 'Orit', 'nizan123', 'spaniagu', 'haika', 'procacso', 'baraklit']",0,[],35,"['zuzvang', 'Tal', 'tamtam', 'hkb', 'tsvika', 'shogun', 'spaniagu', 'haika', 'baraklit', 'smeagul', 'gilcohn', 'Luks', 'Orit', 'izlot', 'cheburashka', 'erabkin', 'shayjo', 'drezner', 'Hila', 'lironilb', 'nizan123', 'hila', 'procacso', 'porvunah', 'sduppleganger', 'itaikam', 'orit', 'podesta', 'smariadu', 'merav_m', 'morritter', 'Keren1', 'atrash', 'guy23', 'demonte']"
5,46,35,7,7,"['zuzvang', 'orit', 'tsvika', 'shogun', 'haika', 'smeagul', 'sduppleganger']",28,"['Tal', 'tamtam', 'hkb', 'spaniagu', 'baraklit', 'gilcohn', 'Luks', 'Orit', 'izlot', 'cheburashka', 'erabkin', 'shayjo', 'drezner', 'Hila', 'lironilb', 'nizan123', 'hila', 'procacso', 'porvunah', 'itaikam', 'podesta', 'smariadu', 'merav_m', 'morritter', 'Keren1', 'atrash', 'guy23', 'demonte']",0,[],35,"['zuzvang', 'Tal', 'tamtam', 'hkb', 'tsvika', 'shogun', 'spaniagu', 'haika', 'baraklit', 'smeagul', 'gilcohn', 'Luks', 'Orit', 'izlot', 'cheburashka', 'erabkin', 'shayjo', 'drezner', 'Hila', 'lironilb', 'nizan123', 'hila', 'procacso', 'porvunah', 'sduppleganger', 'itaikam', 'orit', 'podesta', 'smariadu', 'merav_m', 'morritter', 'Keren1', 'atrash', 'guy23', 'demonte']"
6,9,34,46,28,"['awegener', 'bniu', 'tshuang', 'ptewari', 'megaton7', 'sminhyup', 'nju2sjtu', 'kjs1000', 'ishsman', 'argupta15115', 'szelong', 'gu0', 'ssuslov', 'thenoblewoodsman', 'mhossai', 'dmoonshi', 'microefan', 'nihaoya', 'wangjian404', 'rmccarth', 'pree2cool', 'vchipp', 'ebaytok', 'ketaki', 'sourdon', 'zzongbum', 'mathew', 'yoster84']",6,"['dberdy', 'cchong', 'dhc529', 'laplaceiitkgp', 'seharris', 'genexk']",18,"['jhchen', 'pkoswatt', 'cooperj', 'lee640', 'lgupta', 'pc350128', 'spalit', 'itismyworld', 'rvedula', 'sanvampire74', 'ejdawley', 'rwu', 'yuitan87', 'sganguly', 'ankitdhawan', 'yusung33', 'kuntalroy', 'wang381']",52,"['awegener', 'bniu', 'jhchen', 'cchong', 'lgupta', 'ejdawley', 'sminhyup', 'ankitdhawan', 'nju2sjtu', 'laplaceiitkgp', 'ishsman', 'argupta15115', 'dberdy', 'szelong', 'mhossai', 'sganguly', 'microefan', 'rmccarth', 'pree2cool', 'seharris', 'sourdon', 'zzongbum', 'kuntalroy', 'wang381', 'tshuang', 'pkoswatt', 'ptewari', 'megaton7', 'kjs1000', 'dhc529', 'yoster84', 'cooperj', 'gu0', 'ssuslov', 'pc350128', 'thenoblewoodsman', 'sanvampire74', 'yuitan87', 'dmoonshi', 'nihaoya', 'lee640', 'wangjian404', 'spalit', 'rvedula', 'vchipp', 'ebaytok', 'itismyworld', 'rwu', 'ketaki', 'yusung33', 'mathew', 'genexk']"
6,18,34,10,7,"['cchong', 'dhc529', 'szelong', 'ptewari', 'seharris', 'sourdon', 'laplaceiitkgp']",27,"['awegener', 'bniu', 'tshuang', 'megaton7', 'sminhyup', 'nju2sjtu', 'kjs1000', 'ishsman', 'argupta15115', 'dberdy', 'yoster84', 'gu0', 'ssuslov', 'thenoblewoodsman', 'mhossai', 'dmoonshi', 'microefan', 'nihaoya', 'wangjian404', 'rmccarth', 'pree2cool', 'vchipp', 'ebaytok', 'ketaki', 'zzongbum', 'mathew', 'genexk']",3,"['bugmenot', 'bugmenotagain', 'yuitan87']",37,"['awegener', 'bniu', 'cchong', 'tshuang', 'ptewari', 'megaton7', 'sminhyup', 'nju2sjtu', 'laplaceiitkgp', 'kjs1000', 'ishsman', 'argupta15115', 'dberdy', 'dhc529', 'szelong', 'gu0', 'ssuslov', 'genexk', 'thenoblewoodsman', 'mhossai', 'yuitan87', 'dmoonshi', 'microefan', 'nihaoya', 'wangjian404', 'rmccarth', 'pree2cool', 'vchipp', 'bugmenotagain', 'ebaytok', 'bugmenot', 'seharris', 'ketaki', 'sourdon', 'zzongbum', 'mathew', 'yoster84']"
7,41,32,27,26,"['peturgordon', 's052528', 'robertpennington', 'laur', 'simon_toft', 'flexnezz', 's042191', 'flashpane', 's052274', 'anderssig', 'bilsten', 'mhca', 'marsmand', 's052429', 's042357', 'nori86', 'nesk', 'simonbrodersen', 'bjarkemalm', 'torbentage', 's052280', 'echovolution', 'lisa_k_t', 'peterjp', 'hagsted', 'napanil']",6,"['bluewolfrulz', 'aplzrj', 'kilroy85', 'jnunez', 'kaseyrussell', 'tnleite']",1,['anttinanohub'],33,"['bluewolfrulz', 'peturgordon', 's052528', 'robertpennington', 'laur', 'jnunez', 'simon_toft', 's042191', 'flashpane', 's052274', 'anderssig', 'kaseyrussell', 'tnleite', 'mhca', 'bilsten', 'marsmand', 'kilroy85', 's052429', 's042357', 'anttinanohub', 'aplzrj', 'nori86', 'nesk', 'simonbrodersen', 'bjarkemalm', 'hagsted', 'torbentage', 's052280', 'echovolution', 'lisa_k_t', 'peterjp', 'flexnezz', 'napanil']"
8,17,23,27,16,"['evary', 'bumjin', 'tigranb', 'fudankth', 'alexkravchenko', 'sheng', 'jazzphysicist', 'jtli3', 'vincentv', 'fatihertinaz', 'sansar31', 'benny7', 'silverjbj', 'bjoern83', 'sohailabbas', 'mewael']",7,"['kingya', 'pythias', 'kristas', 'pythais', 'spiderweb432', 'karlwr', 'armankian']",11,"['danishr', 'rizwan', 'wtm', 'musman6', 'hafizbilalnaveed', 'ahbhatti', 'dibrovdo', 'm_maziar', 'yxiang', 'manuilov', 'bellmanz']",34,"['evary', 'pythias', 'rizwan', 'sheng', 'wtm', 'spiderweb432', 'benny7', 'bjoern83', 'hafizbilalnaveed', 'bellmanz', 'kingya', 'danishr', 'yxiang', 'silverjbj', 'armankian', 'manuilov', 'sohailabbas', 'mewael', 'bumjin', 'tigranb', 'kristas', 'pythais', 'ahbhatti', 'vincentv', 'fudankth', 'alexkravchenko', 'musman6', 'jazzphysicist', 'dibrovdo', 'm_maziar', 'jtli3', 'karlwr', 'fatihertinaz', 'sansar31']"
9,3,22,10,8,"['fk2burns', 'sienar', 'leysan', 'ch_klar', 'thommy', 'craz', 'mwidera', 'igor']",14,"['zaradras', 'sergethompson', 'schallundrauch', 'chucknorris', 'philippschaefers', 'khalsa', 'tg07', 'steveengels', 'alleinherrscher', 'masa', 'nilsb', 'vkemper', 'mkes1982', 'martinschucj']",2,"['rwth', 'zaldenp']",24,"['fk2burns', 'zaradras', 'zaldenp', 'sienar', 'leysan', 'philippschaefers', 'ch_klar', 'masa', 'thommy', 'vkemper', 'mwidera', 'igor', 'sergethompson', 'schallundrauch', 'chucknorris', 'khalsa', 'tg07', 'steveengels', 'rwth', 'alleinherrscher', 'nilsb', 'mkes1982', 'craz', 'martinschucj']"
10,14,21,16,15,"['shiva1060', 'sreekanthg2005', 'radikareddykota', 'swetha443', 'desidudes', 'mahi2234', 'salah_asad', 'shwethakuruganti', 'khan530', 'praveen33', 'raghunathgadi', 'nanotechnology530', 'reddy242', 'mushtaq0455', 'subbu']",6,"['jayak', 'spulli', 'mohan', 'ep4', 'jaejoon', 'arrola']",1,['harsha_jammula'],22,"['shiva1060', 'desidudes', 'jayak', 'mahi2234', 'mohan', 'ep4', 'khan530', 'praveen33', 'raghunathgadi', 'nanotechnology530', 'mushtaq0455', 'subbu', 'jaejoon', 'arrola', 'spulli', 'swetha443', 'sreekanthg2005', 'radikareddykota', 'harsha_jammula', 'salah_asad', 'shwethakuruganti', 'reddy242']"
10,15,21,8,6,"['sreekanthg2005', 'jayak', 'mohan', 'reddy242', 'subbu', 'spulli']",15,"['shiva1060', 'swetha443', 'radikareddykota', 'desidudes', 'mahi2234', 'salah_asad', 'shwethakuruganti', 'ep4', 'khan530', 'praveen33', 'raghunathgadi', 'nanotechnology530', 'mushtaq0455', 'jaejoon', 'arrola']",2,"['kajapanisrikanth', 'harsha_jammula']",23,"['shiva1060', 'desidudes', 'kajapanisrikanth', 'jayak', 'mahi2234', 'mohan', 'ep4', 'khan530', 'praveen33', 'raghunathgadi', 'nanotechnology530', 'mushtaq0455', 'subbu', 'jaejoon', 'arrola', 'spulli', 'swetha443', 'sreekanthg2005', 'radikareddykota', 'harsha_jammula', 'salah_asad', 'shwethakuruganti', 'reddy242']"
11,39,21,8,8,"['jhon_arias', 'oriaj', 'tauorus', 'sajor', 'jusecas', 'lilicita', 'agcr3', 'loreurbano']",13,"['danybaret', 'karen', 'rdw', 'zhangxi1982', 'ikoz56', 'squall_jotc', 'dianap1986', 'safreyle', 'leechaolan', 'romainwacquez', 'djpittdj', 'basilio', 'omarteoriam123']",0,[],21,"['jhon_arias', 'safreyle', 'dianap1986', 'sajor', 'jusecas', 'lilicita', 'loreurbano', 'danybaret', 'karen', 'rdw', 'zhangxi1982', 'ikoz56', 'oriaj', 'squall_jotc', 'leechaolan', 'romainwacquez', 'tauorus', 'djpittdj', 'agcr3', 'basilio', 'omarteoriam123']"
11,40,21,5,1,['rdw'],20,"['dianap1986', 'safreyle', 'sajor', 'jusecas', 'ikoz56', 'oriaj', 'romainwacquez', 'tauorus', 'djpittdj', 'omarteoriam123', 'basilio', 'jhon_arias', 'lilicita', 'loreurbano', 'danybaret', 'karen', 'zhangxi1982', 'squall_jotc', 'agcr3', 'leechaolan']",4,"['btprice', 'bdahnke', 'hmosman', 'waranatha']",25,"['jhon_arias', 'safreyle', 'dianap1986', 'sajor', 'jusecas', 'lilicita', 'loreurbano', 'bdahnke', 'danybaret', 'btprice', 'karen', 'waranatha', 'rdw', 'zhangxi1982', 'ikoz56', 'oriaj', 'squall_jotc', 'hmosman', 'leechaolan', 'romainwacquez', 'tauorus', 'djpittdj', 'agcr3', 'basilio', 'omarteoriam123']"
12,33,17,18,17,"['jchen', 'ejmiller', 'mkmk2009', 'rkurtzman', 's3rj', 'amannan', 'IceForge13', 'krayner', 'dmei', 'nmeftah', 'ohalv', 'mdtipping', 'juliehan', 'jschoenfeldt', 'lpung', 'rtiwari', 'jsiegler']",0,[],1,['jklemp'],18,"['ejmiller', 'jklemp', 'nmeftah', 'ohalv', 'jschoenfeldt', 'rtiwari', 'jchen', 'mkmk2009', 's3rj', 'rkurtzman', 'IceForge13', 'krayner', 'dmei', 'mdtipping', 'juliehan', 'lpung', 'amannan', 'jsiegler']"
13,26,15,12,11,"['heavenblue', 'sinbad', 'huawenmei', 'houniaolu', 'xpchen', 'modave', 'haipengf', 'chaojixin', 'redorange1984', 'ecolejun', 'liushaoteng']",4,"['clouds_city', 'lst123', 'zfj', 'djgangan']",1,['xuhaifeng'],16,"['heavenblue', 'sinbad', 'xpchen', 'modave', 'haipengf', 'ecolejun', 'liushaoteng', 'clouds_city', 'huawenmei', 'houniaolu', 'xuhaifeng', 'redorange1984', 'zfj', 'djgangan', 'chaojixin', 'lst123']"
14,24,14,9,8,"['patterso09', 'joletti', 'bmyles', 'swestdal', 'stugedude15', 'woodard41', 'smithm', 'killmaster']",6,"['vnaray3', 'yootuka', 'jskubal', 'balamurali25', 'hermanj09', 'xus']",1,['osterberg'],15,"['vnaray3', 'swestdal', 'stugedude15', 'balamurali25', 'osterberg', 'woodard41', 'smithm', 'xus', 'patterso09', 'joletti', 'yootuka', 'jskubal', 'bmyles', 'hermanj09', 'killmaster']"
